职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['Java项目经理'],['https://jobs.51job.com/zhengzhou-zzxq/89706521.html?s=01&t=0'],['新东网科技有限公司'],['郑州-郑东新区'],['0.9-1.3万/月'],['06-24']
['Java工程师助理4K双休实习'],['https://jobs.51job.com/zhengzhou/111092872.html?s=01&t=0'],['郑州蓝之海软件科技有限公司'],['郑州'],['3.9-7.6千/月'],['06-28']
['java工程师'],['https://jobs.51job.com/zhengzhou/61943243.html?s=01&t=0'],['郑州郑大信息技术有限公司'],['郑州'],['0.4-1万/月'],['06-28']
['高薪急聘—JAVA高级工程师'],['https://jobs.51job.com/zhengzhou/73838268.html?s=01&t=0'],['河南海融软件有限公司'],['郑州'],['1-1.5万/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-gxq/100482453.html?s=01&t=0'],['河南紫光物联技术有限公司'],['郑州-高新区'],['1-1.5万/月'],['06-04']
['SDN专家'],['https://jobs.51job.com/jinshuiqu/111154880.html?s=01&t=0'],['郑州珑凌科技有限公司'],['郑州-金水区'],['2-3万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/zhengzhou/111378266.html?s=01&t=0'],['河南因特嘉软件工程有限公司'],['郑州'],['0.8-1万/月'],['06-28']
['软件开发'],['https://jobs.51job.com/zhengzhou-gxq/105896343.html?s=01&t=0'],['河南蜂云科技发展有限公司'],['郑州-高新区'],['3-4.5千/月'],['06-11']
['java软件工程师（设施—郑州）'],['https://jobs.51job.com/zhengzhou/112279160.html?s=01&t=0'],['北京超图软件股份有限公司'],['郑州'],['0.7-1万/月'],['06-24']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou-jkq/95248677.html?s=01&t=0'],['郑州软通合力计算机技术有限公司'],['郑州-经开区'],['0.7-1万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/jinshuiqu/100864747.html?s=01&t=0'],['北京中科联通科技有限责任公司'],['郑州-金水区'],['1-1.5万/月'],['06-27']
['高级Java开发工程师'],['https://jobs.51job.com/zhangjiakou/112630299.html?s=01&t=0'],['大连同方软银科技股份有限公司'],['异地招聘'],['1-2万/月'],['06-28']
['软件开发工程师'],['https://jobs.51job.com/guanchenghuizuqu/106057578.html?s=01&t=0'],['河南微民电子商务有限公司'],['郑州-管城回族区'],['2-2.5万/月'],['06-28']
['JAVA开发工程师'],['https://jobs.51job.com/zhengzhou-zzxq/113175333.html?s=01&t=0'],['河南富通信息技术有限公司'],['郑州-郑东新区'],['6-8千/月'],['06-03']
['java中级/高级开发工程师'],['https://jobs.51job.com/beijing-hdq/106099502.html?s=01&t=0'],['河南八六三软件股份有限公司'],['异地招聘'],['1-1.5万/月'],['06-27']
['Java开发工程师'],['https://jobs.51job.com/zhengzhou/95805275.html?s=01&t=0'],['河南拓普计算机网络工程有限公司'],['郑州'],['0.8-1.5万/月'],['06-28']
['App软件开发工程师 高月薪+分红+期权+合伙人  保障全'],['https://jobs.51job.com/zhengzhou/100841190.html?s=01&t=0'],['智方在线（河南）科技有限公司'],['郑州'],['10-15万/年'],['06-10']
['JAVA、WEB、H5、PHP实习生 双休+五险一金'],['https://jobs.51job.com/jinshuiqu/107795961.html?s=01&t=0'],['河南脉友会创业孵化器有限公司'],['郑州-金水区'],['4.5-6千/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/zhongyuanqu/113560876.html?s=01&t=0'],['北京直真科技股份有限公司'],['郑州-中原区'],['0.6-1.1万/月'],['06-24']
['Java软件工程师'],['https://jobs.51job.com/jinshuiqu/48549895.html?s=01&t=0'],['郑州裕软计算机技术有限公司'],['郑州-金水区'],['3-5千/月'],['06-28']
['中高级java开发工程师'],['https://jobs.51job.com/zhengzhou/110683874.html?s=01&t=0'],['上海梦创双杨数据科技股份有限公司'],['郑州'],['1-3万/月'],['06-27']
['JAVA高级软件开发工程师'],['https://jobs.51job.com/jinshuiqu/94698341.html?s=01&t=0'],['河南盘古科技发展有限公司'],['郑州-金水区'],['0.6-1.2万/月'],['06-27']
['技术研发部经理'],['https://jobs.51job.com/zhengzhou/110949961.html?s=01&t=0'],['北京中软宏大信息技术有限公司'],['郑州'],['0.5-1.2万/月'],['06-28']
['JAVA开发工程师（实习生）'],['https://jobs.51job.com/guanchenghuizuqu/110750133.html?s=01&t=0'],['郑州志泽网络科技有限公司'],['郑州-管城回族区'],['4-6千/月'],['06-28']
['Java初级开发工程师'],['https://jobs.51job.com/jinshuiqu/112508126.html?s=01&t=0'],['深圳市金伦通信有限公司河南分公司'],['郑州-金水区'],['4.5-6千/月'],['06-03']
['资深实施工程师河 南'],['https://jobs.51job.com/zhongyuanqu/113049144.html?s=01&t=0'],['上海赋拓物联网技术有限公司'],['郑州-中原区'],['5-9千/月'],['06-07']
