职位名称,详细链接,公司名称,工作地点,薪资,发布时间
['java    开发人员'],['https://jobs.51job.com/beijing-ftq/111785309.html?s=01&t=0'],['北京弘洁建设集团有限公司'],['北京-丰台区'],['0.8-1.5万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-xcq/112604146.html?s=01&t=0'],['广东健康在线信息技术股份有限公司'],['北京-西城区'],['1-1.5万/月'],['06-28']
['Java开发主管'],['https://jobs.51job.com/beijing-cyq/114522949.html?s=01&t=0'],['北京杰迈科技股份有限公司'],['北京-朝阳区'],['2-2.5万/月'],['06-28']
['中级JAVA开发(联通在线招聘)'],['https://jobs.51job.com/beijing/109358316.html?s=01&t=0'],['北京中广瑞波科技股份有限公司'],['北京'],['1.2-1.6万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/106354497.html?s=01&t=0'],['商助科技（北京）有限公司'],['北京-海淀区'],[],['06-28']
['java工程师（初级）'],['https://jobs.51job.com/beijing-cyq/100964339.html?s=01&t=0'],['北京飞马容心科技有限公司'],['北京-朝阳区'],['0.8-1万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114804351.html?s=01&t=0'],['上海言善信息科技有限公司'],['北京-海淀区'],['1.5-2万/月'],['06-28']
['项目经理（会Java）'],['https://jobs.51job.com/beijing/114755468.html?s=01&t=0'],['北京联创高科信息技术有限公司'],['北京'],['1.5-2万/月'],['06-28']
['Java工程师'],['https://jobs.51job.com/beijing-cyq/112589914.html?s=01&t=0'],['上海分众晶视广告有限公司'],['北京-朝阳区'],['1-2万/月'],['06-28']
['中高级Java开发工程师'],['https://jobs.51job.com/beijing-xcq/111372848.html?s=01&t=0'],['新维数联（北京）科技有限公司'],['北京-西城区'],['1-1.5万/月'],['06-28']
['Java高级讲师（上地）'],['https://jobs.51job.com/beijing-hdq/94137853.html?s=01&t=0'],['北京八维研修学院'],['北京-海淀区'],['1.5-3万/月'],['06-28']
['.Net中级开发工程师（兼Java）'],['https://jobs.51job.com/beijing/114837966.html?s=01&t=0'],['美国K2软件（中国）'],['北京'],['1.5-1.8万/月'],['06-28']
['java开发岗（高级）'],['https://jobs.51job.com/beijing-hdq/109819031.html?s=01&t=0'],['河南中原消费金融股份有限公司'],['北京-海淀区'],['1.5-3万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/113105711.html?s=01&t=0'],['上海汉得信息技术股份有限公司'],['北京'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/73292871.html?s=01&t=0'],['杭州迪普科技股份有限公司'],['北京-海淀区'],['15-20万/年'],['06-28']
['国企 Java中级开发工程师-供应链'],['https://jobs.51job.com/beijing-syq/110529183.html?s=01&t=0'],['北京市精诚兴信息有限责任公司'],['北京-顺义区'],['2-4万/月'],['06-28']
['高级JAVA开发工程师'],['https://jobs.51job.com/beijing-dxq/113685383.html?s=01&t=0'],['上海维恩孛特信息技术有限公司'],['北京-大兴区'],['1-2万/月'],['06-28']
['JAVA中高级工程师'],['https://jobs.51job.com/beijing-hdq/92543981.html?s=01&t=0'],['中企永联数据交换技术（北京）有限...'],['北京-海淀区'],['0.8-1万/月'],['06-28']
['Java高级研发工程师'],['https://jobs.51job.com/beijing-cyq/111179741.html?s=01&t=0'],['北京思诺博信息技术股份有限公司'],['北京-朝阳区'],['1.8-2.5万/月'],['06-28']
['Java工程师'],['https://jobs.51job.com/beijing/114748211.html?s=01&t=0'],['瞬联软件科技（北京）有限公司 CI...'],['北京'],['1.2-2.4万/月'],['06-28']
['对日Java软件工程师'],['https://jobs.51job.com/beijing-ftq/46713751.html?s=01&t=0'],['北京北方新宇信息技术有限公司'],['北京-丰台区'],['0.6-1万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing/97154596.html?s=01&t=0'],['北京麦迪克斯科技有限公司'],['北京'],['1.5-2.5万/月'],['06-28']
['JAVA前端高级开发工程师'],['https://jobs.51job.com/beijing-hdq/114836915.html?s=01&t=0'],['同方股份有限公司'],['北京-海淀区'],['1.6-2.2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/113197237.html?s=01&t=0'],['北京京师脑力科技有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-dxq/114048506.html?s=01&t=0'],['北京木北科技有限公司'],['北京-大兴区'],['0.8-1万/月'],['06-28']
['高级Java软件开发工程师'],['https://jobs.51job.com/beijing-cyq/110359507.html?s=01&t=0'],['北京众谊越泰科技有限公司'],['北京-朝阳区'],['1.6-2.2万/月'],['06-28']
['资深Java工程师（大数据方向）'],['https://jobs.51job.com/beijing/110883682.html?s=01&t=0'],['优刻得科技股份有限公司'],['北京'],['2-4万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/107766884.html?s=01&t=0'],['翰竺科技（北京）有限公司'],['北京'],['1.5-2万/月'],['06-28']
['java开发工程师'],['https://jobs.51job.com/beijing-cyq/114679893.html?s=01&t=0'],['贵州高朋科技有限公司'],['北京-朝阳区'],['1.5-2.5万/月'],['06-28']
['Java前端开发工程师'],['https://jobs.51job.com/beijing-hdq/114744727.html?s=01&t=0'],['航天科工仿真技术有限责任公司'],['北京-海淀区'],['12-17万/年'],['06-28']
['JAVA开发工程师'],['https://jobs.51job.com/beijing/101584578.html?s=01&t=0'],['北京酒仙网络科技有限公司'],['北京'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing/113993999.html?s=01&t=0'],['上海博鼠信息科技有限公司'],['北京'],['1.1-1.8万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-fsq/112202038.html?s=01&t=0'],['北京华冠商业科技发展有限公司'],['北京-房山区'],['1-1.5万/月'],['06-28']
['Java工程师'],['https://jobs.51job.com/beijing/110013853.html?s=01&t=0'],['北京汇智翔宇科技有限公司'],['北京'],['1.2-1.8万/月'],['06-28']
['JAVA开发工程师-数码BU-北京'],['https://jobs.51job.com/beijing-hdq/110260986.html?s=01&t=0'],['科大讯飞股份有限公司'],['北京-海淀区'],['1-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-dxq/114835491.html?s=01&t=0'],['大连美橙人力资源有限公司'],['北京-大兴区'],['0.8-1.3万/月'],['06-28']
['Java高级开发工程师'],['https://jobs.51job.com/beijing-hdq/104501411.html?s=01&t=0'],['中创智维科技有限公司'],['北京-海淀区'],['1.6-2.5万/月'],['06-28']
['java开发工程师（poc实施交付方向）'],['https://jobs.51job.com/beijing-hdq/114388626.html?s=01&t=0'],['竹间智能科技（上海）有限公司'],['北京-海淀区'],['1.5-3万/月'],['06-28']
['Java工程师'],['https://jobs.51job.com/beijing-hdq/104452838.html?s=01&t=0'],['北京新东方前途出国咨询有限公司'],['北京-海淀区'],['0.8-1.2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114743382.html?s=01&t=0'],['博雅仟恒软件技术（北京）有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/110231695.html?s=01&t=0'],['北京旭豪科技有限公司'],['北京-海淀区'],['0.8-1万/月'],['06-28']
['高级Java工程师'],['https://jobs.51job.com/beijing-hdq/114140373.html?s=01&t=0'],['上海汇付数据服务有限公司'],['北京-海淀区'],['1.5-2.5万/月'],['06-28']
['Java架构师'],['https://jobs.51job.com/beijing-hdq/114511933.html?s=01&t=0'],['北京普惠互联科技有限公司'],['北京-海淀区'],['2-2.5万/月'],['06-28']
['高级JAVA工程师'],['https://jobs.51job.com/beijing-hdq/98464489.html?s=01&t=0'],['金色大田科技有限公司'],['北京-海淀区'],['2-3万/月'],['06-28']
['JAVA工程师（互联网金融方向）'],['https://jobs.51job.com/beijing-cyq/90616402.html?s=01&t=0'],['天宇正清科技有限公司'],['北京-朝阳区'],['1-1.5万/月'],['06-28']
['Java开发工程师/后端工程师'],['https://jobs.51job.com/beijing-xcq/103370129.html?s=01&t=0'],['中智诚征信有限公司'],['北京-西城区'],['1.5-2万/月'],['06-28']
['Java后台开发工程师'],['https://jobs.51job.com/beijing/114835078.html?s=01&t=0'],['湖南合天智汇信息技术有限公司'],['北京'],['0.7-1万/月'],['06-28']
['BS开发/Java开发工程师'],['https://jobs.51job.com/beijing/94488591.html?s=01&t=0'],['北京龙寰科技有限公司'],['北京'],['1.3-1.7万/月'],['06-28']
['Java中高级开发工程师(驻北京现场)'],['https://jobs.51job.com/beijing-cyq/108680546.html?s=01&t=0'],['中兴（沈阳）金融科技有限公司'],['北京-朝阳区'],['1.5-2万/月'],['06-28']
['Java开发工程师'],['https://jobs.51job.com/beijing-hdq/114711196.html?s=01&t=0'],['上海泰克赛尔软件有限公司'],['北京-海淀区'],['1-2万/月'],['06-28']
['Java中级开发工程师'],['https://jobs.51job.com/beijing-hdq/114582191.html?s=01&t=0'],['北京高阳金信信息技术有限公司'],['北京-海淀区'],['1-1.5万/月'],['06-28']
